order_item_id,order_id,product_id,quantity,unit_price,line_subtotal,line_discount_amount,line_net_revenue,line_cost,line_profit
44,22,198,2,115.36,230.72,0.0,230.72,122.0,108.72
45,22,184,2,18.95,37.9,0.0,37.9,19.44,18.46
46,23,196,1,52.32,52.32,16.22,36.1,23.91,12.19
47,24,174,1,76.12,76.12,3.04,73.08,29.65,43.43
48,24,161,1,52.51,52.51,2.1,50.41,19.76,30.65
49,24,166,1,24.49,24.49,0.98,23.51,8.77,14.74
50,25,74,1,78.07,78.07,0.0,78.07,35.25,42.82
51,26,164,1,61.27,61.27,7.97,53.3,23.79,29.51
52,27,177,1,63.64,63.64,0.0,63.64,26.16,37.48
53,28,168,1,21.47,21.47,7.09,14.38,7.47,6.91
54,28,82,1,41.28,41.28,13.62,27.66,16.16,11.5
55,28,151,2,47.78,95.56,31.53,64.03,35.88,28.15
56,28,62,2,51.36,102.72,33.9,68.82,39.96,28.86
57,29,248,1,40.24,40.24,0.0,40.24,19.1,21.14
58,29,250,1,16.64,16.64,0.0,16.64,8.28,8.36
59,30,247,1,90.78,90.78,3.63,87.15,39.5,47.65
60,31,231,1,79.55,79.55,13.52,66.03,41.55,24.48
61,31,245,1,44.09,44.09,7.5,36.59,19.47,17.12
62,32,232,1,17.43,17.43,0.0,17.43,7.92,9.51
63,33,199,1,92.82,92.82,0.0,92.82,41.79,51.03
64,33,195,1,195.81,195.81,0.0,195.81,102.73,93.08
65,34,192,1,138.8,138.8,30.54,108.26,69.16,39.1
66,34,275,1,183.24,183.24,40.31,142.93,103.16,39.77
67,34,197,1,249.53,249.53,54.9,194.63,133.61,61.02
68,35,121,3,38.63,115.89000000000001,0.0,115.89,64.11,51.78
69,36,181,1,26.0,26.0,4.68,21.32,12.39,8.93
70,36,174,1,76.12,76.12,13.7,62.42,29.65,32.77
71,37,192,1,138.8,138.8,29.15,109.65,69.16,40.49
72,37,183,1,283.06,283.06,59.44,223.62,141.1,82.52
73,37,179,1,170.72,170.72,35.85,134.87,87.45,47.42
74,37,199,2,92.82,185.64,38.98,146.66,83.58,63.08
75,38,62,3,51.36,154.07999999999998,18.49,135.59,59.94,75.65
76,38,85,1,35.55,35.55,4.27,31.28,16.18,15.1
77,38,50,1,128.09,128.09,15.37,112.72,57.1,55.62
78,38,81,1,91.05,91.05,10.93,80.12,40.04,40.08
79,39,212,1,10.92,10.92,0.0,10.92,6.45,4.47
80,39,70,2,55.03,110.06,0.0,110.06,50.22,59.84
81,40,85,2,35.55,71.1,0.0,71.1,32.36,38.74
82,41,48,2,45.63,91.26,0.0,91.26,37.86,53.4
83,42,47,1,20.12,20.12,4.02,16.1,8.02,8.08
84,43,47,1,20.12,20.12,7.65,12.47,8.02,4.45
85,44,274,1,60.3,60.3,6.03,54.27,33.05,21.22
86,45,208,2,37.46,74.92,5.99,68.93,39.5,29.43
87,45,209,1,21.87,21.87,1.75,20.12,11.18,8.94
88,45,209,1,21.87,21.87,1.75,20.12,11.18,8.94
89,46,283,3,399.69,1199.07,263.8,935.27,672.6,262.67
90,46,224,1,16.78,16.78,3.69,13.09,9.36,3.73
91,47,212,1,10.92,10.92,0.22,10.7,6.45,4.25
92,47,207,1,41.43,41.43,0.83,40.6,20.72,19.88
93,48,218,2,33.07,66.14,6.61,59.53,33.88,25.65
94,49,212,1,10.92,10.92,0.0,10.92,6.45,4.47
95,50,290,1,798.35,798.35,0.0,798.35,465.98,332.37
96,51,100,1,151.8,151.8,0.0,151.8,67.7,84.1
97,51,212,2,10.92,21.84,0.0,21.84,12.9,8.94
98,51,224,1,16.78,16.78,0.0,16.78,9.36,7.42
99,52,155,1,12.59,12.59,1.76,10.83,4.91,5.92
100,52,214,3,41.77,125.31,17.54,107.77,63.99,43.78
101,52,209,2,21.87,43.74,6.12,37.62,22.36,15.26
102,52,220,1,29.74,29.74,4.16,25.58,16.81,8.77
103,53,225,2,29.27,58.54,7.61,50.93,35.36,15.57
104,53,133,1,95.31,95.31,12.39,82.92,53.03,29.89
105,54,213,1,30.93,30.93,0.0,30.93,16.13,14.8
106,54,35,2,33.38,66.76,0.0,66.76,39.98,26.78
107,55,165,2,71.87,143.74,10.06,133.68,59.52,74.16
108,55,207,1,41.43,41.43,2.9,38.53,20.72,17.81
109,56,91,1,136.48,136.48,0.0,136.48,61.55,74.93
110,57,94,1,71.82,71.82,7.18,64.64,33.38,31.26
111,58,96,1,182.08,182.08,18.21,163.87,77.59,86.28
112,59,267,1,43.71,43.71,3.5,40.21,27.64,12.57
113,59,108,1,101.65,101.65,8.13,93.52,46.27,47.25
114,60,91,1,136.48,136.48,10.92,125.56,61.55,64.01
115,60,142,1,222.93,222.93,17.83,205.1,123.59,81.51
116,60,267,1,43.71,43.71,3.5,40.21,27.64,12.57
117,60,113,3,98.02,294.06,23.52,270.54,140.67,129.87
118,61,152,1,22.41,22.41,1.57,20.84,7.75,13.09
119,61,173,1,67.18,67.18,4.7,62.48,27.69,34.79
120,62,216,2,17.45,34.9,1.74,33.16,17.32,15.84
121,62,143,1,31.67,31.67,1.58,30.09,17.73,12.36
122,62,99,1,187.35,187.35,9.37,177.98,86.18,91.8
123,63,269,1,31.54,31.54,9.78,21.76,17.9,3.86
124,64,102,1,143.53,143.53,0.0,143.53,63.09,80.44
125,64,110,1,47.0,47.0,0.0,47.0,21.0,26.0
126,64,178,1,79.57,79.57,0.0,79.57,27.64,51.93
127,64,164,1,61.27,61.27,0.0,61.27,23.79,37.48
128,65,125,2,109.16,218.32,4.37,213.95,118.4,95.55
129,66,55,1,99.61,99.61,0.0,99.61,38.95,60.66
130,67,207,1,41.43,41.43,2.9,38.53,20.72,17.81
131,67,225,1,29.27,29.27,2.05,27.22,17.68,9.54
132,67,224,1,16.78,16.78,1.17,15.61,9.36,6.25
133,68,64,2,64.14,128.28,0.0,128.28,56.1,72.18
134,69,260,1,8.93,8.93,0.36,8.57,5.47,3.1
135,69,269,1,31.54,31.54,1.26,30.28,17.9,12.38
136,70,271,1,29.38,29.38,6.76,22.62,16.2,6.42
137,70,284,2,47.0,94.0,21.62,72.38,49.64,22.74
138,70,6,1,214.0,214.0,49.22,164.78,127.2,37.58
139,71,269,1,31.54,31.54,0.0,31.54,17.9,13.64
140,71,273,3,26.83,80.49,0.0,80.49,44.94,35.55
141,72,17,1,227.34,227.34,0.0,227.34,154.63,72.71
142,73,141,1,192.76,192.76,0.0,192.76,95.59,97.17
143,74,268,1,47.97,47.97,0.0,47.97,27.14,20.83
144,75,254,1,51.78,51.78,2.07,49.71,33.35,16.36
145,75,95,1,127.18,127.18,5.09,122.09,52.58,69.51
146,76,183,1,283.06,283.06,0.0,283.06,141.1,141.96
147,77,207,2,41.43,82.86,0.0,82.86,41.44,41.42
148,78,255,1,35.81,35.81,0.0,35.81,21.31,14.5
149,79,92,1,155.97,155.97,24.96,131.01,76.64,54.37
150,80,113,1,98.02,98.02,0.0,98.02,46.89,51.13
151,80,95,1,127.18,127.18,0.0,127.18,52.58,74.6
152,81,97,1,76.22,76.22,7.62,68.6,36.4,32.2
153,81,64,1,64.14,64.14,6.41,57.73,28.05,29.68
154,82,253,2,61.67,123.34,4.93,118.41,67.24,51.17
155,82,216,2,17.45,34.9,1.4,33.5,17.32,16.18
156,83,111,3,112.64,337.92,23.65,314.27,153.87,160.4
157,83,100,3,151.8,455.40000000000003,31.88,423.52,203.1,220.42
158,84,82,1,41.28,41.28,2.89,38.39,16.16,22.23
159,84,50,1,128.09,128.09,8.97,119.12,57.1,62.02
160,84,110,1,47.0,47.0,3.29,43.71,21.0,22.71
161,84,279,1,727.0,727.0,50.89,676.11,368.97,307.14
162,85,224,1,16.78,16.78,0.0,16.78,9.36,7.42
163,85,109,2,176.38,352.76,0.0,352.76,146.72,206.04
164,86,90,2,78.17,156.34,0.0,156.34,69.54,86.8
165,86,92,1,155.97,155.97,0.0,155.97,76.64,79.33
166,87,103,1,90.94,90.94,1.82,89.12,38.04,51.08
167,87,96,1,182.08,182.08,3.64,178.44,77.59,100.85
168,88,261,1,8.01,8.01,0.0,8.01,4.59,3.42
169,89,3,1,566.32,566.32,101.94,464.38,363.78,100.6
170,90,4,1,82.01,82.01,0.0,82.01,54.76,27.25
171,91,28,1,248.41,248.41,47.2,201.21,159.3,41.91
172,92,34,1,49.44,49.44,19.28,30.16,28.0,2.16
173,93,85,1,35.55,35.55,2.13,33.42,16.18,17.24
174,94,37,2,298.97,597.94,71.75,526.19,373.64,152.55
175,94,289,1,680.34,680.34,81.64,598.7,374.21,224.49
176,95,21,1,492.37,492.37,157.56,334.81,334.45,0.36
177,96,2,1,162.08,162.08,14.59,147.49,101.56,45.93
178,97,13,2,233.74,467.48,0.0,467.48,270.22,197.26
179,98,150,1,79.07,79.07,0.0,79.07,37.09,41.98
180,98,228,2,28.94,57.88,0.0,57.88,33.02,24.86
181,98,209,1,21.87,21.87,0.0,21.87,11.18,10.69
182,98,212,1,10.92,10.92,0.0,10.92,6.45,4.47
183,99,221,1,23.7,23.7,0.0,23.7,12.38,11.32
184,99,208,1,37.46,37.46,0.0,37.46,19.75,17.71
185,99,3,1,566.32,566.32,0.0,566.32,363.78,202.54
186,100,207,1,41.43,41.43,4.14,37.29,20.72,16.57
187,100,254,1,51.78,51.78,5.18,46.6,33.35,13.25
188,101,224,1,16.78,16.78,0.67,16.11,9.36,6.75
189,101,145,1,162.58,162.58,6.5,156.08,82.5,73.58
190,102,228,1,28.94,28.94,4.34,24.6,16.51,8.09
191,103,208,1,37.46,37.46,4.87,32.59,19.75,12.84
192,103,225,1,29.27,29.27,3.81,25.46,17.68,7.78
193,104,33,1,19.21,19.21,0.0,19.21,12.41,6.8
194,105,220,2,29.74,59.48,7.73,51.75,33.62,18.13
195,105,210,1,27.65,27.65,3.59,24.06,15.41,8.65
196,106,202,3,278.23,834.69,58.43,776.26,412.89,363.37
197,106,259,1,59.49,59.49,4.16,55.33,32.65,22.68
198,107,201,1,189.78,189.78,0.0,189.78,97.93,91.85
199,108,185,2,257.79,515.58,77.34,438.24,268.6,169.64
200,108,191,1,100.48,100.48,15.07,85.41,52.3,33.11
201,108,180,1,164.53,164.53,24.68,139.85,81.31,58.54
202,109,184,1,18.95,18.95,5.68,13.27,9.72,3.55
203,110,191,1,100.48,100.48,37.18,63.3,52.3,11.0
204,111,201,1,189.78,189.78,0.0,189.78,97.93,91.85
205,112,191,1,100.48,100.48,6.03,94.45,52.3,42.15
206,113,195,1,195.81,195.81,76.37,119.44,102.73,16.71
207,114,180,1,164.53,164.53,24.68,139.85,81.31,58.54
208,114,292,1,78.5,78.5,11.78,66.72,39.02,27.7
209,115,179,1,170.72,170.72,0.0,170.72,87.45,83.27
210,115,5,1,454.26,454.26,0.0,454.26,296.77,157.49
211,116,184,1,18.95,18.95,4.17,14.78,9.72,5.06
212,116,200,1,235.08,235.08,51.72,183.36,125.47,57.89
213,116,191,1,100.48,100.48,22.11,78.37,52.3,26.07
214,117,190,1,57.73,57.73,16.16,41.57,31.36,10.21
215,117,182,1,50.61,50.61,14.17,36.44,24.23,12.21
216,118,191,1,100.48,100.48,20.1,80.38,52.3,28.08
217,118,183,2,283.06,566.12,113.22,452.9,282.2,170.7
218,118,246,3,50.57,151.71,30.34,121.37,71.49,49.88
219,119,182,2,50.61,101.22,0.0,101.22,48.46,52.76
220,120,203,2,160.15,320.3,0.0,320.3,154.78,165.52
221,121,182,2,50.61,101.22,0.0,101.22,48.46,52.76
222,122,194,1,54.84,54.84,5.48,49.36,25.72,23.64
223,123,185,1,257.79,257.79,46.4,211.39,134.3,77.09
224,123,256,1,62.81,62.81,11.31,51.5,34.38,17.12
225,124,204,2,246.49,492.98,9.86,483.12,240.44,242.68
226,124,183,1,283.06,283.06,5.66,277.4,141.1,136.3
227,124,198,1,115.36,115.36,2.31,113.05,61.0,52.05
228,124,189,1,303.59,303.59,6.07,297.52,156.28,141.24
229,125,199,1,92.82,92.82,0.0,92.82,41.79,51.03
230,125,190,1,57.73,57.73,0.0,57.73,31.36,26.37
231,125,225,2,29.27,58.54,0.0,58.54,35.36,23.18
232,125,246,1,50.57,50.57,0.0,50.57,23.83,26.74
233,126,134,1,215.58,215.58,0.0,215.58,103.26,112.32
234,127,201,1,189.78,189.78,0.0,189.78,97.93,91.85
235,127,185,2,257.79,515.58,0.0,515.58,268.6,246.98
236,128,203,1,160.15,160.15,0.0,160.15,77.39,82.76
237,128,193,1,156.39,156.39,0.0,156.39,77.52,78.87
238,128,182,1,50.61,50.61,0.0,50.61,24.23,26.38
239,129,181,1,26.0,26.0,4.94,21.06,12.39,8.67
240,130,205,1,299.18,299.18,0.0,299.18,160.65,138.53
241,130,270,1,24.67,24.67,0.0,24.67,14.66,10.01
242,130,129,1,160.1,160.1,0.0,160.1,76.94,83.16
243,131,174,1,76.12,76.12,0.0,76.12,29.65,46.47
244,131,169,1,6.24,6.24,0.0,6.24,2.35,3.89
245,131,165,1,71.87,71.87,0.0,71.87,29.76,42.11
246,132,168,2,21.47,42.94,0.0,42.94,14.94,28.0
247,132,25,1,369.86,369.86,0.0,369.86,250.61,119.25
248,133,67,1,29.59,29.59,5.33,24.26,11.27,12.99
249,134,289,3,680.34,2041.02,40.82,2000.2,1122.63,877.57
250,135,151,1,47.78,47.78,0.0,47.78,17.94,29.84
251,135,169,1,6.24,6.24,0.0,6.24,2.35,3.89
252,135,153,1,89.75,89.75,0.0,89.75,33.95,55.8
253,135,155,1,12.59,12.59,0.0,12.59,4.91,7.68
254,136,177,1,63.64,63.64,0.0,63.64,26.16,37.48
255,136,157,1,56.09,56.09,0.0,56.09,20.48,35.61
256,136,169,2,6.24,12.48,0.0,12.48,4.7,7.78
257,137,172,1,68.57,68.57,6.86,61.71,25.82,35.89
258,137,20,1,61.07,61.07,6.11,54.96,39.62,15.34
259,138,175,1,64.85,64.85,0.0,64.85,26.78,38.07
260,138,163,1,94.11,94.11,0.0,94.11,34.37,59.74
261,139,159,1,74.04,74.04,0.0,74.04,28.73,45.31
262,140,160,2,76.38,152.76,32.08,120.68,54.86,65.82
263,141,177,1,63.64,63.64,0.0,63.64,26.16,37.48
264,141,136,1,217.18,217.18,0.0,217.18,117.62,99.56
265,142,24,2,111.6,223.2,17.86,205.34,139.14,66.2
266,143,9,1,583.55,583.55,0.0,583.55,380.76,202.79
267,143,1,2,363.59,727.18,0.0,727.18,447.98,279.2
268,144,34,1,49.44,49.44,0.0,49.44,28.0,21.44
269,145,38,2,438.16,876.32,61.34,814.98,584.86,230.12
270,145,37,2,298.97,597.94,41.86,556.08,373.64,182.44
271,146,3,1,566.32,566.32,67.96,498.36,363.78,134.58
272,147,17,1,227.34,227.34,0.0,227.34,154.63,72.71
273,147,36,1,315.78,315.78,0.0,315.78,187.11,128.67
274,148,16,1,300.83,300.83,0.0,300.83,172.04,128.79
275,149,6,1,214.0,214.0,4.28,209.72,127.2,82.52
276,149,215,1,25.06,25.06,0.5,24.56,13.1,11.46
277,149,27,2,418.57,837.14,16.74,820.4,541.14,279.26
278,150,112,1,77.35,77.35,0.0,77.35,36.58,40.77
279,150,7,2,107.52,215.04,0.0,215.04,120.08,94.96
280,151,16,2,300.83,601.66,144.4,457.26,344.08,113.18
281,152,22,2,326.63,653.26,26.13,627.13,374.7,252.43
282,152,193,2,156.39,312.78,12.51,300.27,155.04,145.23
283,153,34,1,49.44,49.44,0.0,49.44,28.0,21.44
284,153,236,1,79.68,79.68,0.0,79.68,41.38,38.3
285,154,13,2,233.74,467.48,0.0,467.48,270.22,197.26
286,154,11,3,380.8,1142.4,0.0,1142.4,756.69,385.71
287,154,13,1,233.74,233.74,0.0,233.74,135.11,98.63
288,155,105,2,166.97,333.94,0.0,333.94,161.86,172.08
289,156,20,1,61.07,61.07,0.0,61.07,39.62,21.45
290,156,3,2,566.32,1132.64,0.0,1132.64,727.56,405.08
291,157,21,1,492.37,492.37,0.0,492.37,334.45,157.92
292,157,26,1,558.41,558.41,0.0,558.41,363.89,194.52
293,158,278,1,442.26,442.26,119.41,322.85,232.21,90.64
294,158,32,1,339.04,339.04,91.54,247.5,213.92,33.58
295,159,22,1,326.63,326.63,0.0,326.63,187.35,139.28
296,159,17,1,227.34,227.34,0.0,227.34,154.63,72.71
297,160,113,1,98.02,98.02,0.0,98.02,46.89,51.13
298,161,1,1,363.59,363.59,58.17,305.42,223.99,81.43
299,162,32,2,339.04,678.08,135.62,542.46,427.84,114.62
300,163,9,1,583.55,583.55,29.18,554.37,380.76,173.61
301,164,146,1,17.17,17.17,0.0,17.17,9.56,7.61
302,165,293,1,878.26,878.26,17.57,860.69,518.03,342.66
303,166,216,2,17.45,34.9,0.0,34.9,17.32,17.58
304,166,187,2,136.48,272.96,0.0,272.96,128.96,144.0
305,166,289,1,680.34,680.34,0.0,680.34,374.21,306.13
306,167,179,3,170.72,512.16,0.0,512.16,262.35,249.81
307,168,70,1,55.03,55.03,0.0,55.03,25.11,29.92
308,168,260,1,8.93,8.93,0.0,8.93,5.47,3.46
309,169,220,1,29.74,29.74,0.0,29.74,16.81,12.93
310,170,221,1,23.7,23.7,0.0,23.7,12.38,11.32
311,170,209,1,21.87,21.87,0.0,21.87,11.18,10.69
312,170,217,3,37.77,113.31,0.0,113.31,67.32,45.99
313,171,213,1,30.93,30.93,0.0,30.93,16.13,14.8
314,172,127,2,166.81,333.62,56.72,276.9,159.66,117.24
315,172,216,1,17.45,17.45,2.97,14.48,8.66,5.82
316,173,220,1,29.74,29.74,5.06,24.68,16.81,7.87
317,174,218,1,33.07,33.07,0.0,33.07,16.94,16.13
318,174,132,3,102.64,307.92,0.0,307.92,160.32,147.6
319,175,214,1,41.77,41.77,0.0,41.77,21.33,20.44
320,175,215,1,25.06,25.06,0.0,25.06,13.1,11.96
321,175,212,1,10.92,10.92,0.0,10.92,6.45,4.47
322,176,209,1,21.87,21.87,0.66,21.21,11.18,10.03
323,177,212,1,10.92,10.92,0.76,10.16,6.45,3.71
324,177,219,1,24.34,24.34,1.7,22.64,12.97,9.67
325,178,292,2,78.5,157.0,14.13,142.87,78.04,64.83
326,178,223,2,22.23,44.46,4.0,40.46,24.38,16.08
327,178,285,3,232.22,696.66,62.7,633.96,355.35,278.61
328,179,178,1,79.57,79.57,5.57,74.0,27.64,46.36
329,179,171,1,26.6,26.6,1.86,24.74,10.53,14.21
330,179,283,1,399.69,399.69,27.98,371.71,224.2,147.51
331,179,276,1,653.31,653.31,45.73,607.58,342.94,264.64
332,180,166,2,24.49,48.98,0.98,48.0,17.54,30.46
333,180,169,3,6.24,18.72,0.37,18.35,7.05,11.3
334,180,158,1,94.46,94.46,1.89,92.57,33.16,59.41
335,181,153,2,89.75,179.5,0.0,179.5,67.9,111.6
336,181,164,1,61.27,61.27,0.0,61.27,23.79,37.48
337,182,151,1,47.78,47.78,4.3,43.48,17.94,25.54
338,182,164,1,61.27,61.27,5.51,55.76,23.79,31.97
339,182,165,2,71.87,143.74,12.94,130.8,59.52,71.28
340,182,157,1,56.09,56.09,5.05,51.04,20.48,30.56
341,183,131,1,96.8,96.8,3.87,92.93,49.61,43.32
342,183,134,1,215.58,215.58,8.62,206.96,103.26,103.7
343,183,257,2,33.22,66.44,2.66,63.78,39.08,24.7
344,184,129,1,160.1,160.1,8.01,152.09,76.94,75.15
345,184,37,1,298.97,298.97,14.95,284.02,186.82,97.2
346,184,144,2,70.97,141.94,7.1,134.84,73.28,61.56
347,185,118,2,64.49,128.98,0.0,128.98,69.74,59.24
348,186,116,1,48.1,48.1,12.51,35.59,23.14,12.45
349,187,128,1,203.12,203.12,42.66,160.46,113.02,47.44
350,187,281,3,657.42,1972.2599999999998,414.17,1558.09,1081.83,476.26
351,188,247,2,90.78,181.56,0.0,181.56,79.0,102.56
352,189,80,1,104.32,104.32,0.0,104.32,43.04,61.28
353,189,266,1,46.81,46.81,0.0,46.81,30.07,16.74
354,190,127,1,166.81,166.81,0.0,166.81,79.83,86.98
355,191,138,1,251.37,251.37,2.51,248.86,124.7,124.16
356,192,120,1,161.81,161.81,45.31,116.5,88.31,28.19
357,193,150,1,79.07,79.07,0.0,79.07,37.09,41.98
358,194,115,1,59.84,59.84,0.0,59.84,28.13,31.71
359,194,263,1,23.84,23.84,0.0,23.84,15.72,8.12
360,194,123,2,16.42,32.84,0.0,32.84,16.44,16.4
361,195,131,2,96.8,193.6,0.0,193.6,99.22,94.38
362,196,152,3,22.41,67.23,0.0,67.23,23.25,43.98
363,196,115,1,59.84,59.84,0.0,59.84,28.13,31.71
364,197,146,1,17.17,17.17,0.69,16.48,9.56,6.92
365,197,135,1,250.2,250.2,10.01,240.19,133.63,106.56
366,197,28,1,248.41,248.41,9.94,238.47,159.3,79.17
367,198,118,1,64.49,64.49,7.74,56.75,34.87,21.88
368,198,143,3,31.67,95.01,11.4,83.61,53.19,30.42
369,198,213,1,30.93,30.93,3.71,27.22,16.13,11.09
370,199,129,1,160.1,160.1,33.62,126.48,76.94,49.54
371,199,145,3,162.58,487.74,102.43,385.31,247.5,137.81
372,199,127,3,166.81,500.43,105.09,395.34,239.49,155.85
373,200,126,1,29.0,29.0,0.0,29.0,15.65,13.35
374,201,292,3,78.5,235.5,35.32,200.18,117.06,83.12
375,201,141,2,192.76,385.52,57.83,327.69,191.18,136.51
376,201,135,1,250.2,250.2,37.53,212.67,133.63,79.04
377,202,29,3,233.45,700.3499999999999,42.02,658.33,468.93,189.4
378,203,121,1,38.63,38.63,0.77,37.86,21.37,16.49
379,204,19,1,155.91,155.91,0.0,155.91,97.97,57.94
380,204,149,1,230.08,230.08,0.0,230.08,124.46,105.62
381,204,145,2,162.58,325.16,0.0,325.16,165.0,160.16
382,204,120,1,161.81,161.81,0.0,161.81,88.31,73.5
383,205,225,1,29.27,29.27,0.0,29.27,17.68,11.59
384,206,227,2,32.35,64.7,0.0,64.7,33.98,30.72
385,207,219,1,24.34,24.34,9.01,15.33,12.97,2.36
386,207,288,3,199.88,599.64,221.87,377.77,321.9,55.87
387,207,23,1,400.95,400.95,148.35,252.6,270.81,-18.21
388,208,215,2,25.06,50.12,12.03,38.09,26.2,11.89
389,208,224,1,16.78,16.78,4.03,12.75,9.36,3.39
390,209,21,1,492.37,492.37,24.62,467.75,334.45,133.3
391,210,290,1,798.35,798.35,159.67,638.68,465.98,172.7
392,211,12,1,311.98,311.98,0.0,311.98,181.78,130.2
393,211,41,1,70.18,70.18,0.0,70.18,44.9,25.28
394,212,287,1,47.03,47.03,0.0,47.03,27.14,19.89
395,212,10,1,311.99,311.99,0.0,311.99,178.21,133.78
396,213,288,1,199.88,199.88,0.0,199.88,107.3,92.58
397,213,292,1,78.5,78.5,0.0,78.5,39.02,39.48
398,214,294,1,563.94,563.94,0.0,563.94,314.72,249.22
399,215,22,1,326.63,326.63,0.0,326.63,187.35,139.28
400,215,287,3,47.03,141.09,0.0,141.09,81.42,59.67
401,215,14,1,572.8,572.8,0.0,572.8,385.14,187.66
402,216,14,1,572.8,572.8,17.18,555.62,385.14,170.48
403,217,10,2,311.99,623.98,0.0,623.98,356.42,267.56
404,218,282,1,647.09,647.09,0.0,647.09,323.54,323.55
405,219,42,1,222.26,222.26,51.12,171.14,135.35,35.79
406,219,24,1,111.6,111.6,25.67,85.93,69.57,16.36
407,219,42,1,222.26,222.26,51.12,171.14,135.35,35.79
408,219,21,3,492.37,1477.1100000000001,339.74,1137.37,1003.35,134.02
409,220,13,1,233.74,233.74,0.0,233.74,135.11,98.63
410,220,83,1,94.75,94.75,0.0,94.75,38.86,55.89
411,221,153,2,89.75,179.5,0.0,179.5,67.9,111.6
412,222,164,1,61.27,61.27,7.35,53.92,23.79,30.13
413,223,170,1,58.85,58.85,2.94,55.91,21.43,34.48
414,224,293,3,878.26,2634.7799999999997,606.0,2028.78,1554.09,474.69
415,225,156,1,10.77,10.77,0.0,10.77,3.81,6.96
416,225,178,1,79.57,79.57,0.0,79.57,27.64,51.93
417,226,78,3,32.89,98.67,6.91,91.76,40.71,51.05
418,227,75,1,126.91,126.91,0.0,126.91,55.96,70.95
419,227,128,3,203.12,609.36,0.0,609.36,339.06,270.3
420,228,130,1,255.96,255.96,2.56,253.4,140.62,112.78
421,229,146,1,17.17,17.17,0.86,16.31,9.56,6.75
422,229,87,1,114.82,114.82,5.74,109.08,45.55,63.53
423,230,130,1,255.96,255.96,20.48,235.48,140.62,94.86
424,230,131,1,96.8,96.8,7.74,89.06,49.61,39.45
425,231,134,2,215.58,431.16,163.84,267.32,206.52,60.8
426,232,112,3,77.35,232.04999999999998,13.92,218.13,109.74,108.39
427,232,204,1,246.49,246.49,14.79,231.7,120.22,111.48
428,233,279,1,727.0,727.0,43.62,683.38,368.97,314.41
429,234,268,1,47.97,47.97,0.0,47.97,27.14,20.83
430,234,258,2,45.85,91.7,0.0,91.7,54.92,36.78
431,234,254,2,51.78,103.56,0.0,103.56,66.7,36.86
432,234,63,1,127.62,127.62,0.0,127.62,49.97,77.65
