channel,month,spend
Organic Search,2025-02-01,1422.23
Email Marketing,2025-02-01,969.34
Referral,2025-02-01,429.54
Paid Social,2025-03-01,9063.93
Organic Search,2025-03-01,1511.61
Email Marketing,2025-03-01,800.86
Referral,2025-03-01,454.48
Paid Social,2025-04-01,8787.58
Organic Search,2025-04-01,1459.51
Email Marketing,2025-04-01,947.35
Referral,2025-04-01,504.98
Paid Social,2025-05-01,7091.79
Organic Search,2025-05-01,1395.43
Email Marketing,2025-05-01,827.71
Referral,2025-05-01,513.44
Paid Social,2025-06-01,6876.69
Organic Search,2025-06-01,1701.73
Email Marketing,2025-06-01,950.25
Referral,2025-06-01,433.27
Paid Social,2025-07-01,7500.34
Organic Search,2025-07-01,1294.72
Email Marketing,2025-07-01,805.09
Referral,2025-07-01,429.9
Paid Social,2025-08-01,7848.83
Organic Search,2025-08-01,1438.4
Email Marketing,2025-08-01,916.37
Referral,2025-08-01,537.01
Paid Social,2025-09-01,6899.79
Organic Search,2025-09-01,1684.13
Email Marketing,2025-09-01,1010.47
Referral,2025-09-01,502.28
Paid Social,2025-10-01,7644.37
Organic Search,2025-10-01,1659.7
Email Marketing,2025-10-01,1011.21
Referral,2025-10-01,529.52
Paid Social,2025-11-01,14530.44
Organic Search,2025-11-01,2591.54
Email Marketing,2025-11-01,1594.98
Referral,2025-11-01,806.85
Paid Social,2025-12-01,13027.99
Organic Search,2025-12-01,2697.38
Email Marketing,2025-12-01,1526.64
Referral,2025-12-01,871.89
Paid Social,2026-01-01,8297.56
Organic Search,2026-01-01,1700.2
Email Marketing,2026-01-01,1016.19
Referral,2026-01-01,543.53
Paid Social,2026-02-01,7915.2
Organic Search,2026-02-01,1389.72
Email Marketing,2026-02-01,872.11
Referral,2026-02-01,525.66
Paid Social,2026-03-01,7869.91
Organic Search,2026-03-01,1512.25
Email Marketing,2026-03-01,1027.22
Referral,2026-03-01,482.36
Paid Social,2026-04-01,8010.96
Organic Search,2026-04-01,1477.17
Email Marketing,2026-04-01,902.36
Referral,2026-04-01,513.33
Paid Social,2026-05-01,7410.16
Organic Search,2026-05-01,1290.57
Email Marketing,2026-05-01,1020.79
Referral,2026-05-01,542.3
Paid Social,2026-06-01,7463.5
Organic Search,2026-06-01,1640.1
Email Marketing,2026-06-01,905.2
Referral,2026-06-01,481.99
Paid Social,2026-07-01,9093.71
Organic Search,2026-07-01,1642.99
Email Marketing,2026-07-01,1023.03
Referral,2026-07-01,456.37
Paid Social,2026-08-01,8100.92
Organic Search,2026-08-01,1483.3
Email Marketing,2026-08-01,949.78
Referral,2026-08-01,508.18
