return_id,order_item_id,return_date,return_reason,refund_amount
93,2331,2026-07-02,Changed mind,599.64
94,2332,2026-07-14,Not as described,235.08
95,2336,2026-08-01,Not as described,18.95
96,2348,2025-02-11,Changed mind,22.41
97,2349,2025-02-21,Changed mind,352.08
98,2403,2025-03-11,Changed mind,614.73
99,2411,2026-07-03,Defective/damaged,319.75
100,2432,2026-04-07,Not as described,126.91
101,2498,2024-07-15,Defective/damaged,16.78
102,2502,2024-09-22,Defective/damaged,17.43
103,2523,2025-05-24,Not as described,70.75
104,2564,2026-01-11,Not as described,369.86
105,2582,2026-06-09,Defective/damaged,185.89
106,2592,2024-09-18,Changed mind,89.11
107,2651,2023-06-29,Not as described,167.27
108,2743,2024-10-01,Defective/damaged,271.16
109,2747,2024-12-14,Defective/damaged,10.18
110,2802,2023-10-28,Changed mind,29.84
111,2814,2025-12-02,Wrong size/fit,83.2
112,2824,2025-12-02,Changed mind,104.32
113,2883,2024-05-10,Not as described,17.04
114,2914,2025-04-18,Changed mind,352.08
115,2949,2023-07-10,Defective/damaged,64.85
116,2963,2025-09-02,Not as described,78.5
117,2970,2026-04-17,Changed mind,315.76
118,2986,2025-11-13,Changed mind,34.48
119,3037,2025-03-11,Defective/damaged,79.68
120,3048,2024-06-07,Not as described,73.18
121,3060,2024-11-24,Changed mind,181.22
122,3062,2024-12-03,Not as described,11.93
123,3078,2025-06-14,Not as described,101.32
124,3079,2025-06-13,Wrong size/fit,363.72
125,3080,2025-06-15,Wrong size/fit,28.11
126,3083,2025-06-14,Wrong size/fit,54.04
127,3100,2025-05-25,Changed mind,293.68
128,3122,2024-09-15,Wrong size/fit,20.12
129,3130,2025-03-07,Wrong size/fit,13.1
130,3142,2023-05-08,Defective/damaged,80.48
131,3145,2024-03-14,Changed mind,55.7
132,3155,2024-10-25,Not as described,511.2
133,3158,2024-11-10,Defective/damaged,48.1
134,3162,2024-12-10,Not as described,719.44
135,3163,2024-12-16,Not as described,153.27
136,3191,2026-02-05,Defective/damaged,798.35
137,3223,2026-05-20,Wrong size/fit,52.46
138,3227,2026-05-28,Not as described,647.09
139,3253,2025-09-27,Not as described,234.65
140,3350,2023-09-13,Changed mind,8.96
141,3366,2023-08-08,Defective/damaged,66.33
142,3368,2023-08-10,Changed mind,39.6
143,3400,2024-06-07,Changed mind,89.88
144,3411,2025-06-16,Changed mind,39.32
145,3453,2024-07-15,Not as described,532.02
146,3456,2024-09-21,Defective/damaged,255.02
147,3465,2025-03-21,Defective/damaged,409.44
148,3473,2024-05-17,Wrong size/fit,99.62
149,3477,2024-05-20,Wrong size/fit,69.67
150,3498,2024-10-13,Not as described,399.69
151,3553,2024-02-17,Not as described,268.35
152,3580,2025-11-07,Changed mind,198.41
153,3586,2026-02-05,Not as described,150.09
154,3588,2026-03-15,Wrong size/fit,133.25
155,3609,2026-07-06,Changed mind,45.16
156,3645,2024-07-10,Wrong size/fit,49.31
157,3659,2025-07-13,Changed mind,195.81
158,3665,2026-01-07,Not as described,56.8
159,3704,2023-11-16,Changed mind,151.88
160,3712,2023-06-19,Changed mind,325.16
161,3762,2025-04-03,Defective/damaged,62.19
162,3776,2024-10-14,Wrong size/fit,155.97
163,3861,2023-03-29,Changed mind,556.46
164,3874,2023-11-02,Not as described,170.72
165,3981,2025-08-19,Defective/damaged,42.62
166,3984,2025-09-02,Changed mind,875.67
167,4016,2025-04-04,Wrong size/fit,75.44
168,4053,2024-07-31,Defective/damaged,39.01
169,4118,2024-01-11,Changed mind,415.72
170,4124,2024-07-18,Changed mind,647.5
171,4148,2025-09-27,Wrong size/fit,13.1
172,4152,2026-01-13,Wrong size/fit,25.93
173,4179,2026-04-11,Defective/damaged,278.24
174,4191,2026-03-25,Wrong size/fit,152.2
175,4205,2023-09-28,Defective/damaged,43.84
176,4289,2026-02-02,Not as described,74.77
177,4295,2023-06-06,Changed mind,495.4
178,4310,2023-10-26,Changed mind,20.88
179,4311,2023-11-19,Changed mind,201.72
180,4349,2025-02-21,Defective/damaged,221.21
181,4402,2026-05-27,Changed mind,872.18
182,4407,2023-08-09,Defective/damaged,14.1
183,4471,2026-01-17,Defective/damaged,631.56
184,4491,2024-12-04,Not as described,22.28
185,4500,2025-04-02,Changed mind,229.64
186,4506,2025-06-22,Changed mind,35.55
187,4590,2024-12-12,Not as described,608.26
188,4605,2025-07-23,Changed mind,135.79
189,4611,2025-11-06,Changed mind,41.63
190,4640,2025-10-21,Not as described,42.33
191,4665,2025-05-14,Not as described,208.64
192,4667,2023-10-11,Wrong size/fit,16.57
193,4677,2025-08-23,Not as described,82.57
194,4708,2026-09-15,Wrong size/fit,45.5
195,4710,2026-05-21,Not as described,73.24
196,4712,2026-06-21,Changed mind,13.0
197,4751,2026-05-15,Not as described,59.66
198,4793,2024-12-29,Wrong size/fit,71.82
199,4797,2023-12-25,Changed mind,272.82
200,4807,2023-05-18,Defective/damaged,45.4
201,4808,2024-02-21,Changed mind,84.07
202,4849,2024-03-25,Not as described,283.06
203,4904,2026-05-15,Changed mind,88.08
204,4905,2026-05-09,Not as described,17.82
205,4936,2024-12-02,Not as described,162.58
206,4988,2024-01-11,Not as described,156.96
207,5034,2024-05-26,Changed mind,23.02
208,5092,2024-03-30,Changed mind,111.6
209,5118,2023-10-22,Changed mind,464.44
210,5175,2025-09-29,Changed mind,524.46
211,5185,2026-06-18,Changed mind,96.57
212,5192,2025-11-21,Wrong size/fit,76.1
213,5195,2025-08-04,Wrong size/fit,155.97
214,5202,2025-12-17,Wrong size/fit,143.49
215,5205,2026-01-25,Not as described,160.29
216,5212,2026-07-01,Wrong size/fit,111.54
217,5225,2026-07-16,Changed mind,20.12
218,5240,2025-08-31,Wrong size/fit,70.35
219,5246,2025-02-26,Changed mind,563.94
220,5269,2025-11-28,Changed mind,27.1
221,5304,2023-11-27,Defective/damaged,89.11
222,5358,2025-11-12,Wrong size/fit,122.25
223,5362,2025-12-17,Not as described,76.22
224,5367,2026-02-16,Wrong size/fit,87.35
225,5474,2026-02-25,Not as described,79.07
226,5557,2024-06-06,Changed mind,176.38
227,5561,2024-06-19,Wrong size/fit,225.05
228,5582,2026-01-15,Wrong size/fit,414.29
229,5591,2026-04-21,Changed mind,552.32
230,5593,2026-04-29,Not as described,719.73
231,5600,2026-05-24,Changed mind,90.3
232,5603,2026-09-06,Not as described,1454.0
233,5644,2024-04-26,Wrong size/fit,153.61
234,5653,2025-02-15,Changed mind,284.07
235,5670,2025-10-11,Changed mind,41.54
236,5691,2026-09-13,Changed mind,255.83
237,5711,2026-04-12,Changed mind,177.58
238,5765,2024-01-02,Not as described,162.99
239,5794,2024-03-26,Wrong size/fit,10.09
240,5816,2024-08-12,Changed mind,78.5
241,5824,2024-10-06,Defective/damaged,1314.84
242,5840,2025-01-17,Wrong size/fit,157.68
243,5863,2024-01-18,Wrong size/fit,93.88
244,5868,2024-03-28,Not as described,78.43
245,5871,2025-04-22,Not as described,254.36
246,5884,2025-10-23,Changed mind,127.38
247,5888,2026-03-16,Changed mind,47.34
248,5895,2023-09-11,Changed mind,704.16
249,5899,2023-07-19,Defective/damaged,90.99
250,5904,2023-12-29,Not as described,81.71
251,5949,2023-04-03,Wrong size/fit,143.53
252,5979,2026-04-22,Wrong size/fit,70.39
253,5989,2023-09-02,Wrong size/fit,550.81
254,5994,2024-01-30,Changed mind,117.7
255,5996,2024-03-27,Wrong size/fit,52.59
256,6013,2024-08-03,Not as described,263.8
257,6031,2025-01-02,Defective/damaged,17.12
258,6038,2025-01-14,Wrong size/fit,155.21
259,6131,2023-11-30,Not as described,52.46
260,6156,2024-08-30,Wrong size/fit,118.54
261,6165,2024-10-11,Defective/damaged,21.47
262,6186,2025-12-27,Changed mind,132.66
263,6241,2024-02-17,Not as described,45.85
264,6256,2024-09-28,Changed mind,19.17
265,6278,2025-09-22,Wrong size/fit,71.67
266,6288,2023-04-21,Wrong size/fit,94.75
267,6289,2023-04-17,Wrong size/fit,78.07
268,6292,2023-07-04,Wrong size/fit,44.57
269,6302,2023-12-29,Not as described,255.24
270,6333,2024-11-03,Changed mind,142.31
271,6335,2024-12-18,Wrong size/fit,27.63
272,6360,2024-06-11,Wrong size/fit,166.97
273,6372,2025-08-27,Wrong size/fit,171.21
274,6384,2023-08-23,Not as described,849.18
275,6392,2023-10-27,Not as described,817.56
276,6403,2024-05-04,Changed mind,446.65
277,6419,2025-03-31,Changed mind,49.09
278,6435,2025-09-17,Changed mind,239.1
279,6443,2025-02-04,Not as described,232.22
280,6445,2025-09-25,Defective/damaged,161.81
281,6452,2026-04-02,Not as described,185.54
282,6463,2026-07-20,Wrong size/fit,303.6
283,6490,2025-01-18,Defective/damaged,91.13
284,6493,2023-01-20,Not as described,179.34
285,6561,2023-09-13,Changed mind,303.82
286,6562,2026-05-20,Wrong size/fit,51.39
287,6613,2026-07-12,Not as described,78.19
288,6619,2026-08-02,Not as described,303.59
289,6641,2025-04-27,Changed mind,54.33
290,6655,2023-02-13,Defective/damaged,20.82
291,6657,2026-01-01,Wrong size/fit,309.3
292,6742,2024-01-23,Not as described,34.29
293,6744,2024-02-07,Not as described,369.86
294,6801,2023-10-08,Wrong size/fit,187.35
295,6824,2024-12-15,Wrong size/fit,136.48
296,6827,2024-12-18,Changed mind,1314.84
297,6834,2025-03-30,Changed mind,158.41
298,6844,2024-04-10,Changed mind,52.51
299,6872,2023-05-22,Not as described,157.0
300,6904,2024-09-24,Changed mind,49.38
301,6919,2024-03-16,Changed mind,18.0
302,6938,2024-01-17,Defective/damaged,181.21
303,6940,2026-09-03,Defective/damaged,60.3
304,6952,2024-06-28,Changed mind,90.78
305,6967,2025-06-10,Not as described,88.89
306,6994,2026-03-28,Defective/damaged,858.79
307,7002,2026-08-06,Changed mind,227.34
308,7007,2025-10-08,Defective/damaged,668.84
309,7023,2024-11-30,Wrong size/fit,41.05
310,7029,2024-08-06,Wrong size/fit,145.77
311,7032,2024-08-31,Changed mind,171.21
312,7041,2025-05-13,Wrong size/fit,88.52
313,7106,2026-05-08,Changed mind,309.46
314,7110,2026-06-24,Changed mind,74.42
315,7114,2026-06-23,Changed mind,29.74
316,7150,2025-07-01,Defective/damaged,21.57
317,7172,2023-05-18,Changed mind,58.95
318,7177,2023-08-31,Wrong size/fit,103.91
319,7195,2024-04-19,Not as described,126.93
320,7207,2024-07-08,Wrong size/fit,141.16
321,7208,2024-06-29,Wrong size/fit,202.14
322,7220,2024-10-14,Changed mind,77.25
323,7224,2024-11-30,Changed mind,164.87
324,7225,2024-12-14,Not as described,71.13
325,7229,2025-02-22,Wrong size/fit,146.43
326,7237,2026-01-22,Not as described,584.55
327,7243,2024-10-24,Wrong size/fit,253.44
328,7270,2023-11-04,Wrong size/fit,125.99
329,7274,2024-05-09,Not as described,30.18
330,7277,2025-06-16,Wrong size/fit,124.47
331,7279,2026-02-26,Defective/damaged,399.76
332,7291,2025-05-26,Changed mind,71.87
333,7305,2025-12-09,Not as described,1284.72
334,7355,2025-12-31,Changed mind,104.64
335,7366,2023-09-24,Wrong size/fit,34.84
336,7382,2024-04-30,Not as described,26.29
337,7393,2025-03-15,Changed mind,156.16
338,7406,2026-01-05,Wrong size/fit,189.24
339,7432,2024-01-15,Changed mind,69.68
340,7458,2024-01-13,Changed mind,462.83
341,7465,2023-11-11,Defective/damaged,431.22
342,7536,2024-09-13,Defective/damaged,21.47
343,7542,2024-11-07,Changed mind,363.59
344,7555,2025-04-12,Defective/damaged,85.96
345,7556,2025-04-21,Defective/damaged,22.29
346,7563,2025-08-27,Changed mind,67.18
347,7593,2026-07-06,Changed mind,883.71
348,7598,2026-03-08,Not as described,78.17
349,7628,2026-08-21,Changed mind,141.58
350,7638,2024-08-08,Defective/damaged,197.85
351,7658,2023-06-18,Changed mind,162.58
352,7693,2025-11-20,Changed mind,127.18
353,7711,2026-05-26,Not as described,371.55
354,7763,2023-06-24,Not as described,79.55
355,7765,2023-09-14,Changed mind,83.52
356,7766,2023-10-21,Defective/damaged,113.15
357,7772,2024-02-13,Changed mind,87.15
358,7777,2024-09-24,Defective/damaged,34.48
359,7825,2024-10-14,Wrong size/fit,101.04
360,7834,2025-09-02,Changed mind,205.97
361,7863,2026-06-23,Defective/damaged,27.82
362,7881,2024-09-27,Defective/damaged,19.35
363,7886,2024-11-24,Changed mind,47.75
364,7907,2024-03-13,Defective/damaged,742.47
365,7929,2025-08-06,Wrong size/fit,182.08
366,7934,2025-08-27,Changed mind,130.42
367,7936,2025-09-22,Wrong size/fit,196.04
368,7938,2025-10-05,Not as described,127.18
369,7945,2025-12-26,Wrong size/fit,153.44
370,7970,2025-11-29,Defective/damaged,70.97
371,8010,2023-09-04,Changed mind,227.78
372,8032,2023-09-15,Wrong size/fit,311.94
373,8056,2025-12-21,Wrong size/fit,151.69
374,8067,2026-08-07,Changed mind,413.97
375,8091,2026-01-14,Changed mind,93.45
376,8118,2023-07-03,Defective/damaged,1284.72
377,8157,2026-04-06,Not as described,146.64
378,8158,2026-04-17,Defective/damaged,16.64
379,8173,2026-08-27,Not as described,44.09
380,8231,2025-02-03,Wrong size/fit,48.44
381,8254,2024-04-10,Wrong size/fit,61.77
382,8260,2024-05-08,Changed mind,657.42
383,8276,2025-04-03,Wrong size/fit,91.05
384,8277,2025-04-24,Wrong size/fit,16.57
385,8289,2025-06-21,Wrong size/fit,94.75
386,8297,2025-08-25,Changed mind,114.82
387,8300,2025-11-07,Wrong size/fit,33.02
388,8304,2025-12-19,Not as described,110.39
389,8313,2026-03-04,Wrong size/fit,27.63
390,8329,2024-11-07,Defective/damaged,673.54
391,8335,2025-08-04,Not as described,443.47
392,8342,2023-10-01,Wrong size/fit,45.63
393,8350,2024-07-03,Wrong size/fit,90.7
394,8402,2025-11-20,Defective/damaged,232.22
395,8425,2026-06-20,Changed mind,1127.88
396,8427,2026-08-06,Changed mind,1756.52
397,8436,2023-06-25,Defective/damaged,112.43
398,8437,2023-07-16,Wrong size/fit,98.02
399,8441,2023-07-31,Wrong size/fit,167.88
400,8444,2023-08-26,Changed mind,54.08
401,8446,2023-10-17,Changed mind,52.86
402,8448,2024-03-07,Defective/damaged,10.18
403,8475,2024-04-17,Changed mind,90.94
404,8519,2026-03-28,Defective/damaged,25.06
405,8538,2024-12-28,Defective/damaged,217.18
406,8576,2025-12-16,Not as described,427.0
407,8623,2025-10-08,Changed mind,155.15
408,8629,2025-12-28,Wrong size/fit,237.1
409,8632,2025-12-01,Changed mind,258.81
410,8700,2025-03-29,Defective/damaged,154.98
411,8712,2024-08-12,Wrong size/fit,66.65
412,8713,2024-08-15,Not as described,48.84
413,8721,2024-10-06,Wrong size/fit,138.46
414,8725,2024-11-26,Wrong size/fit,142.7
415,8740,2025-02-11,Not as described,152.95
416,8747,2025-06-17,Changed mind,315.36
417,8760,2025-10-12,Not as described,14.57
418,8777,2026-07-12,Changed mind,47.0
419,8790,2024-09-18,Changed mind,335.05
420,8825,2024-06-17,Not as described,254.36
421,8833,2026-03-07,Changed mind,63.26
422,8845,2023-06-25,Wrong size/fit,311.94
423,8846,2023-06-26,Wrong size/fit,146.43
424,8850,2024-07-19,Changed mind,127.74
425,8864,2026-07-29,Not as described,750.45
426,8868,2026-08-26,Wrong size/fit,529.14
427,8874,2026-06-02,Defective/damaged,552.66
428,8884,2024-05-13,Wrong size/fit,34.1
429,8910,2024-09-04,Changed mind,311.98
430,8918,2025-01-04,Changed mind,227.34
431,8920,2026-03-29,Not as described,39.75
432,8948,2026-07-29,Changed mind,76.6
433,8984,2025-08-26,Not as described,58.96
434,8987,2025-09-26,Defective/damaged,28.94
435,9004,2026-04-12,Not as described,272.96
436,9019,2026-09-10,Not as described,182.08
437,9024,2024-09-20,Changed mind,27.26
438,9031,2025-01-05,Not as described,306.21
439,9033,2024-09-27,Wrong size/fit,49.31
440,9059,2026-07-03,Defective/damaged,213.64
441,9061,2026-07-04,Wrong size/fit,117.01
442,9085,2026-04-29,Changed mind,1927.08
443,9086,2026-04-30,Changed mind,623.98
444,9099,2025-01-06,Not as described,10.47
445,9131,2026-03-04,Not as described,34.29
446,9200,2026-07-07,Changed mind,43.02
447,9207,2024-08-31,Not as described,15.08
448,9214,2025-02-08,Wrong size/fit,78.85
449,9215,2025-02-10,Wrong size/fit,77.35
450,9216,2025-02-12,Wrong size/fit,71.82
451,9282,2025-11-24,Not as described,49.31
452,9290,2024-12-05,Changed mind,276.28
453,9292,2025-11-10,Wrong size/fit,225.5
454,9307,2026-01-09,Wrong size/fit,182.08
455,9321,2026-08-03,Changed mind,437.42
456,9323,2026-07-28,Not as described,315.78
457,9341,2025-03-05,Wrong size/fit,136.48
458,9343,2025-04-06,Wrong size/fit,149.8
459,9348,2025-05-04,Wrong size/fit,49.31
460,9355,2025-07-09,Wrong size/fit,363.46
461,9379,2023-09-01,Defective/damaged,57.44
462,9410,2024-02-25,Changed mind,159.42
463,9429,2024-12-09,Defective/damaged,138.8
464,9440,2025-01-06,Changed mind,1326.78
465,9454,2023-12-23,Wrong size/fit,64.75
466,9463,2026-04-05,Changed mind,25.06
467,9483,2026-08-06,Changed mind,400.95
468,9499,2024-01-06,Changed mind,352.76
469,9507,2025-05-06,Changed mind,166.97
470,9514,2025-10-02,Wrong size/fit,292.86
471,9519,2025-10-28,Changed mind,154.65
472,9526,2025-12-18,Changed mind,247.63
473,9528,2026-01-27,Wrong size/fit,160.51
474,9547,2023-10-17,Changed mind,176.38
475,9558,2023-12-13,Changed mind,7.23
476,9601,2024-07-17,Defective/damaged,529.18
477,9614,2025-03-14,Changed mind,78.5
478,9622,2025-04-28,Changed mind,226.73
479,9649,2023-08-26,Defective/damaged,39.2
480,9733,2024-02-23,Wrong size/fit,40.39
481,9763,2025-08-13,Defective/damaged,58.49
482,9774,2025-12-09,Changed mind,439.29
483,9807,2026-06-01,Defective/damaged,52.29
484,9836,2025-11-09,Changed mind,204.48
485,9842,2026-01-26,Defective/damaged,288.68
486,9854,2024-05-21,Not as described,252.7
487,9860,2024-02-26,Not as described,21.8
488,9864,2024-07-31,Not as described,73.47
489,9866,2024-08-12,Changed mind,9.17
490,9870,2024-11-29,Changed mind,878.26
491,9888,2026-05-20,Defective/damaged,118.74
492,9890,2026-07-21,Not as described,91.05
493,9931,2025-02-05,Not as described,92.5
494,9952,2026-03-03,Wrong size/fit,118.13
495,9981,2026-08-25,Not as described,42.44
496,10000,2023-10-12,Wrong size/fit,187.01
497,10007,2024-02-05,Changed mind,10.22
498,10009,2024-02-29,Changed mind,486.99
499,10011,2024-04-29,Wrong size/fit,98.62
500,10022,2024-11-15,Defective/damaged,35.72
501,10024,2024-12-25,Changed mind,143.49
502,10063,2026-02-13,Wrong size/fit,82.23
503,10072,2026-03-17,Not as described,76.12
504,10078,2026-06-21,Wrong size/fit,21.55
505,10083,2026-08-21,Changed mind,54.6
506,10124,2026-08-11,Not as described,79.95
507,10138,2025-05-22,Wrong size/fit,28.19
508,10204,2025-11-26,Changed mind,37.24
509,10334,2026-09-02,Wrong size/fit,114.82
510,10393,2023-11-25,Changed mind,14.46
511,10434,2024-08-15,Changed mind,199.47
512,10439,2024-09-11,Not as described,69.06
513,10479,2025-01-21,Wrong size/fit,90.94
514,10489,2025-04-21,Defective/damaged,32.43
515,10523,2026-08-05,Defective/damaged,78.5
516,10533,2025-08-18,Changed mind,151.8
517,10537,2025-10-10,Wrong size/fit,112.64
518,10554,2026-03-21,Not as described,13.33
519,10566,2024-05-17,Changed mind,154.08
520,10568,2024-11-10,Not as described,181.89
521,10573,2025-08-14,Defective/damaged,56.84
522,10579,2025-09-11,Changed mind,79.55
523,10611,2025-08-04,Changed mind,60.55
524,10640,2026-05-30,Not as described,76.38
525,10657,2026-07-15,Wrong size/fit,77.35
526,10662,2026-09-04,Wrong size/fit,156.34
527,10667,2026-08-17,Defective/damaged,250.2
528,10668,2023-07-15,Defective/damaged,101.77
529,10673,2023-12-28,Not as described,52.53
530,10697,2026-04-25,Not as described,18.92
531,10708,2023-04-16,Not as described,70.97
532,10718,2023-09-04,Changed mind,50.57
533,10729,2024-02-14,Not as described,46.43
534,10821,2024-03-10,Wrong size/fit,118.69
535,10832,2025-02-22,Changed mind,48.45
536,10839,2025-07-19,Not as described,79.75
537,10840,2025-08-09,Not as described,72.54
538,10859,2024-03-18,Wrong size/fit,223.26
539,10865,2024-10-17,Wrong size/fit,43.21
540,10871,2025-02-09,Not as described,8.22
541,10887,2024-03-05,Defective/damaged,532.15
542,10960,2024-03-05,Changed mind,33.09
543,10973,2023-08-03,Changed mind,25.7
544,11063,2025-12-12,Changed mind,878.26
545,11091,2023-11-20,Not as described,31.54
546,11103,2025-01-23,Defective/damaged,659.93
547,11113,2025-05-17,Changed mind,633.71
548,11119,2025-07-28,Defective/damaged,232.22
549,11167,2024-09-29,Not as described,45.59
550,11247,2024-02-10,Wrong size/fit,10.77
551,11257,2024-03-22,Wrong size/fit,80.94
552,11262,2024-05-30,Defective/damaged,358.87
553,11302,2025-10-17,Not as described,6.24
554,11312,2026-05-19,Not as described,34.14
555,11313,2026-07-28,Wrong size/fit,78.43
556,11340,2026-06-21,Wrong size/fit,345.7
557,11341,2026-08-23,Changed mind,111.29
558,11342,2026-08-17,Wrong size/fit,88.71
559,11353,2026-03-12,Wrong size/fit,120.38
560,11395,2026-05-01,Defective/damaged,90.81
561,11435,2026-05-27,Not as described,138.8
562,11450,2026-08-24,Changed mind,34.48
563,11453,2025-11-23,Wrong size/fit,242.48
564,11477,2023-12-17,Defective/damaged,50.53
565,11504,2023-12-19,Wrong size/fit,15.69
566,11515,2024-02-23,Changed mind,50.17
567,11517,2024-02-22,Wrong size/fit,128.28
568,11519,2024-06-13,Wrong size/fit,125.64
569,11527,2024-08-29,Changed mind,109.86
570,11538,2025-02-13,Not as described,19.02
571,11547,2025-06-20,Wrong size/fit,81.95
572,11556,2025-09-30,Wrong size/fit,126.91
573,11565,2026-01-12,Not as described,298.83
574,11568,2026-01-23,Changed mind,49.34
575,11575,2026-05-08,Wrong size/fit,114.82
576,11595,2025-08-23,Changed mind,24.67
577,11663,2025-05-06,Changed mind,54.52
578,11668,2025-07-02,Changed mind,34.48
579,11690,2023-11-20,Wrong size/fit,71.9
580,11695,2024-05-22,Not as described,77.3
581,11698,2024-06-06,Wrong size/fit,24.22
582,11704,2024-07-20,Wrong size/fit,141.49
583,11708,2024-07-28,Changed mind,30.56
584,11726,2025-06-01,Wrong size/fit,27.3
585,11730,2025-08-01,Wrong size/fit,71.93
586,11735,2024-05-30,Not as described,598.25
587,11772,2025-04-01,Defective/damaged,353.6
588,11780,2026-02-23,Defective/damaged,22.41
589,11837,2025-03-16,Not as described,112.64
590,11858,2024-11-26,Not as described,445.36
591,11879,2024-12-15,Defective/damaged,876.42
592,11891,2025-02-21,Defective/damaged,99.25
593,11916,2026-02-18,Wrong size/fit,90.94
594,11963,2026-03-01,Defective/damaged,170.72
595,11979,2024-03-16,Wrong size/fit,71.24
596,12033,2025-07-23,Changed mind,25.71
597,12052,2024-07-17,Changed mind,66.71
598,12055,2024-08-20,Not as described,104.92
599,12073,2025-08-06,Wrong size/fit,89.56
600,12075,2025-08-12,Changed mind,40.92
601,12120,2023-09-26,Changed mind,16.24
602,12149,2023-11-10,Changed mind,70.91
603,12162,2024-04-22,Wrong size/fit,96.07
604,12219,2025-05-04,Not as described,194.64
605,12234,2025-01-09,Changed mind,104.26
606,12244,2025-07-18,Defective/damaged,244.9
607,12266,2026-06-14,Changed mind,12.51
608,12269,2026-07-04,Changed mind,28.69
609,12274,2024-06-17,Not as described,207.11
610,12299,2026-07-31,Defective/damaged,678.08
